Pop in Notes ,PopCode,N_in_paper,Name,Area,Sweref 99 TM N,Sweref 99 TM E,WGS84 N,WGS84 E,Habitat
7,SE1,57 26 ,KrÜkelund,N. Oskarshamn,6368440,603665,57 26 48.5 ,16 43 38.4 ,Seashore
8,SE2,57 41 ,HÑndelîp,VÑstervik,6394779,603060,57 41 0.3 ,16 43 42.4 ,Seashore
10,SE3,57 43 ,Storsjîn,Vimmerby-VÑstervik,6397760,572872,57 42 57.9 ,16 13 23.6 ,Lakeshore
9,SE4,57 47 ,Hjorten,VÑstervik,6406821,590177,57 47 39.5 ,16 31 1.2 ,Lakeshore
11,SE5,59 15 ,HÑstnÑs,HjÑlmaren,6569547,546337,59 15 44.4 ,15 48 45.8 ,Lakeshore
12,SE6,59 25 ,èkholmen,MÑlaren,6590219,570498,59 26 40.6 ,16 14 35.5 ,Lakeshore
6,SE7,60 33 ,VÑstanÜ,DalÑlven,6719487,634192,60 35 19.7 ,17 26 59.6 ,Riverside
5,SE8,60 44 ,UtvalnÑs,GÑstrikland,6736860,627269,60 44 48.9 ,17 20 5.5 ,Seashore
4,SE9,60 52 ,Iggîn,GÑstrikland,6750808,626245,60 52 20.5 ,17 19 30.6 ,Seashore
13,SE10,63 26 ,LÜngron,Nordmaling,7038927,724765,63 24 28 ,19 30 11 ,Seashore
14,SE11,63 43 ,Lîvî-StorbÜdan,Holmsund,7073987,769864,63 41 23.1 ,20 27 42.9 ,Seashore
15,SE12,63 47 ,NîrdtÑrnîgern,Skeppsvik,7084104,776876,63 46 28.9 ,20 37 15.6 ,Seashore
2,SE13,65 42 ,Skagsudden,Kalix,7310330,871305,65 41 55.9 ,23 6 13 ,Seashore
1,SE14,65 57 ,Kukkolaforsen,"TorneÑlven, Finland",7345448,909905,65 57 47.9 ,24 2 37.1 ,Riverside
3,SE15,66 06 ,Korpforsen,RÜneÑlven,7349548,804427,66 7 6.9 ,21 44 57.2 ,Riverside
